[[27.66580997 61.95338418 26.05666667 26.05666667 33.01724241]],10,-0.0,[[27.25322472 62.82906191 26.05666667 26.05666667 33.17035008]],False
[[27.25322472 62.82906191 26.05666667 26.05666667 33.17035008]],24,-0.6044353932371701,[[26.85900873 63.55679199 26.05666667 26.05666667 33.32489383]],False
[[26.85900873 63.55679199 26.05666667 26.05666667 33.32489383]],22,-0.4765014542104732,[[26.4647875  64.28469272 26.05666667 26.05666667 33.47943708]],False
[[26.4647875  64.28469272 26.05666667 26.05666667 33.47943708]],21,-0.5,[[26.07056627 65.0125933  26.05666667 26.05666667 33.63398035]],False
[[26.07056627 65.0125933  26.05666667 26.05666667 33.63398035]],15,-1.0235220912519953,[[25.67634505 65.74049398 26.05666667 26.05666667 33.78852361]],False
[[25.67634505 65.74049398 26.05666667 26.05666667 33.78852361]],5,-1.7401437707771688,[[25.28212382 66.46839471 26.05666667 26.05666667 33.94306688]],False
[[25.28212382 66.46839471 26.05666667 26.05666667 33.94306688]],10,-3.6410619092619214,[[24.88790259 67.19629529 26.05666667 26.05666667 34.09761014]],False
[[24.88790259 67.19629529 26.05666667 26.05666667 34.09761014]],1,-0.2262765113628665,[[24.49368137 67.92419598 26.05666667 26.05666667 34.2521534 ]],False
[[24.49368137 67.92419598 26.05666667 26.05666667 34.2521534 ]],1,1.6666666666666665,[[24.09946014 68.6520967  26.05666667 26.05666667 34.40669667]],False
[[24.09946014 68.6520967  26.05666667 26.05666667 34.40669667]],14,-1.5745951017567208,[[23.70523891 69.37999728 26.05666667 26.05666667 34.56123994]],False
[[23.70523891 69.37999728 26.05666667 26.05666667 34.56123994]],19,1.0789675766170368,[[23.31101768 70.10789797 26.05666667 26.05666667 34.7157832 ]],False
[[23.31101768 70.10789797 26.05666667 26.05666667 34.7157832 ]],13,2.2916666666666665,[[22.91679645 70.8357987  26.05666667 26.05666667 34.87032646]],False
[[22.91679645 70.8357987  26.05666667 26.05666667 34.87032646]],22,2.0832035471725874,[[22.52257523 71.56369928 26.05666667 26.05666667 35.02486973]],False
[[22.52257523 71.56369928 26.05666667 26.05666667 35.02486973]],14,2.708333333333333,[[22.128354   72.29159996 26.05666667 26.05666667 35.17941299]],False
